ind,path,cat,ts,te,detail,count,argnam,startBucket,endBucket
0,,,982,172338,,-1,,0,0
62,0,,982,76723,./ClsFile.h,-1,,0,2
60,0/62,,1029,75797,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/string,-1,,0,2
2,0/62/60,,1074,2358,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/x86_64-linux-gnu/c++/11/bits/c++config.h,-1,,0,3
1,0/62/60/2,,1354,1989,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/x86_64-linux-gnu/c++/11/bits/os_defines.h,-1,,0,3
0,0/62/60/2/1,,1407,1979,/usr/include/features.h,-1,,0,3
19,0/62/60,,2601,28236,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/char_traits.h,-1,,3,9
11,0/62/60/19,,2634,21926,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_algobase.h,-1,,3,9
3,0/62/60/19/11,,2820,3626,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/cpp_type_traits.h,-1,,3,9
4,0/62/60/19/11,,4190,4708,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/ext/numeric_traits.h,-1,,6,15
8,0/62/60/19/11,,4739,13928,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_pair.h,-1,,7,17
6,0/62/60/19/11/8,,4763,12372,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/move.h,-1,,7,17
5,0/62/60/19/11/8/6,,4875,12023,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/type_traits,-1,,7,17
9,0/62/60/19/11,,14798,17407,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_iterator.h,-1,,26,55
10,0/62/60/19/11,,17520,18392,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/predefined_ops.h,-1,,31,65
14,0/62/60/19,,21965,24612,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/postypes.h,-1,,40,83
13,0/62/60/19/14,,22020,24309,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/cwchar,-1,,40,83
12,0/62/60/19/14/13,,22077,23637,/usr/include/wchar.h,-1,,40,83
18,0/62/60/19,,26672,27294,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/cstdint,-1,,49,101
17,0/62/60/19/18,,26730,27256,/usr/lib/llvm-14/lib/clang/14.0.0/include/stdint.h,-1,,49,101
23,0/62/60,,28275,30236,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/allocator.h,-1,,52,107
22,0/62/60/23,,28301,29563,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/x86_64-linux-gnu/c++/11/bits/c++allocator.h,-1,,52,107
21,0/62/60/23/22,,28318,29527,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/ext/new_allocator.h,-1,,52,107
20,0/62/60/23/22/21,,28364,29118,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/new,-1,,52,107
26,0/62/60,,30276,32117,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/localefwd.h,-1,,56,115
24,0/62/60/26,,30310,30879,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/x86_64-linux-gnu/c++/11/bits/c++locale.h,-1,,56,115
25,0/62/60/26,,31237,31841,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/cctype,-1,,58,119
27,0/62/60,,32516,36339,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_function.h,-1,,60,123
28,0/62/60,,36376,37028,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/range_access.h,-1,,68,139
58,0/62/60,,37060,72998,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/basic_string.h,-1,,69,141
33,0/62/60/58,,37198,41645,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/ext/atomicity.h,-1,,69,141
32,0/62/60/58/33,,37220,41390,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/x86_64-linux-gnu/c++/11/bits/gthr.h,-1,,69,141
31,0/62/60/58/33/32,,37247,41384,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/x86_64-linux-gnu/c++/11/bits/gthr-default.h,-1,,70,142
30,0/62/60/58/33/32/31,,37295,40767,/usr/include/pthread.h,-1,,70,142
29,0/62/60/58/33/32/31/30,,37853,38586,/usr/include/time.h,-1,,71,145
36,0/62/60/58,,41672,44151,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/ext/alloc_traits.h,-1,,78,159
35,0/62/60/58/36,,41698,43840,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/alloc_traits.h,-1,,78,159
44,0/62/60/58,,44215,50401,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/string_view,-1,,83,169
37,0/62/60/58/44,,44258,45285,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/functional_hash.h,-1,,83,169
43,0/62/60/58/44,,49710,50399,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/string_view.tcc,-1,,94,190
51,0/62/60/58,,55391,61274,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/ext/string_conversions.h,-1,,105,212
48,0/62/60/58/51,,55444,58464,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/cstdlib,-1,,105,213
47,0/62/60/58/51/48,,55478,57995,/usr/include/stdlib.h,-1,,105,213
46,0/62/60/58/51/48/47,,56168,56817,/usr/include/x86_64-linux-gnu/sys/types.h,-1,,106,215
50,0/62/60/58/51,,58550,60526,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/cstdio,-1,,111,225
49,0/62/60/58/51/50,,58607,60183,/usr/include/stdio.h,-1,,111,225
59,0/62/60,,73035,75559,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/basic_string.tcc,-1,,139,280
98,0,,76762,114592,./Cls.h,-1,,146,295
82,0/98,,76836,99561,/home/colinw/dev/progs/include/CFile/CFile.h,-1,,146,295
81,0/98/82,,76864,99321,/home/colinw/dev/progs/include/CFile/CFileBase.h,-1,,146,295
64,0/98/82/81,,76885,78010,/usr/include/x86_64-linux-gnu/sys/stat.h,-1,,146,295
63,0/98/82/81/64,,77470,78009,/usr/include/x86_64-linux-gnu/bits/statx.h,-1,,147,297
73,0/98/82/81,,78056,91081,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/vector,-1,,148,299
65,0/98/82/81/73,,78087,79787,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_uninitialized.h,-1,,148,299
67,0/98/82/81/73,,79823,82566,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_vector.h,-1,,152,307
71,0/98/82/81/73,,82602,88460,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_bvector.h,-1,,157,317
72,0/98/82/81/73,,88502,91039,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/vector.tcc,-1,,168,339
77,0/98/82/81,,91143,95711,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/list,-1,,174,350
75,0/98/82/81/77,,91177,94447,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_list.h,-1,,174,351
76,0/98/82/81/77,,94483,95667,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/list.tcc,-1,,180,363
94,0/98,,99618,112024,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/set,-1,,190,383
89,0/98/94,,99649,108797,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_tree.h,-1,,190,383
83,0/98/94/89,,99717,100751,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/node_handle.h,-1,,190,383
91,0/98/94,,108834,110358,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_set.h,-1,,208,419
93,0/98/94,,110394,111842,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/stl_multiset.h,-1,,211,425
100,0,,115667,116886,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/cstring,-1,,221,445
99,0/100,,115720,116824,/usr/include/string.h,-1,,221,445
134,0,,123263,172338,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/iostream,-1,,236,474
131,0/134,,123450,164688,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/ostream,-1,,236,475
129,0/134/131,,123567,161241,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/ios,-1,,236,475
102,0/134/131/129,,123680,126945,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/exception,-1,,236,475
101,0/134/131/129/102,,124284,126361,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/exception_ptr.h,-1,,238,478
109,0/134/131/129,,127069,137467,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/ios_base.h,-1,,243,489
104,0/134/131/129/109,,127199,130234,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/locale_classes.h,-1,,243,489
103,0/134/131/129/109/104,,129165,130232,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/locale_classes.tcc,-1,,247,497
107,0/134/131/129/109,,130392,134007,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/system_error,-1,,249,501
105,0/134/131/129/109/107,,130799,131403,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/stdexcept,-1,,250,503
112,0/134/131/129,,137645,139690,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/streambuf,-1,,263,529
111,0/134/131/129/112,,138928,139688,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/streambuf.tcc,-1,,266,535
128,0/134/131/129,,139813,161231,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/basic_ios.h,-1,,268,538
125,0/134/131/129/128,,140161,158284,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/locale_facets.h,-1,,268,539
114,0/134/131/129/128/125,,140352,141341,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/cwctype,-1,,269,540
113,0/134/131/129/128/125/114,,140654,141300,/usr/include/wctype.h,-1,,269,541
115,0/134/131/129/128/125,,141840,142926,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/streambuf_iterator.h,-1,,271,545
124,0/134/131/129/128/125,,147588,158283,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/locale_facets.tcc,-1,,283,568
127,0/134/131/129/128,,160586,161229,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/basic_ios.tcc,-1,,308,619
130,0/134/131,,162286,164686,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/ostream.tcc,-1,,311,625
133,0/134,,164870,172279,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/istream,-1,,316,635
132,0/134/133,,166551,172277,/bin/../lib/gcc/x86_64-linux-gnu/11/../../../../include/c++/11/bits/istream.tcc,-1,,319,641
